Individual,Species,Temperature,Direction,Day,Date,Photo.low.pre,Photo.mean.pre,Photo.high.pre,Photo.low.post,Photo.mean.post,Photo.high.post,Resp.low,Resp.mean,Resp.high
ALRU31UB,ALRU,31,up,0,3/22/18,29.5229579,71.75944557,115.1814798,27.93316278,68.43412338,110.0662069,18.85684643,19.22326439,19.85202182
ALRU31UB,ALRU,31,up,3,3/25/18,29.43426869,72.0192076,115.1681659,29.64421959,73.11629018,117.2709692,19.64851355,19.78881481,20.02727045
ALRU31UB,ALRU,31,up,7,3/29/18,33.58886561,68.13966116,102.4874724,32.40296156,66.2322377,99.80507756,20.51535164,20.87778079,21.50578872
ALRU31UB,ALRU,31,up,21,4/12/18,38.1239468,87.91029248,138.0950691,34.916796,81.23736049,127.8771855,16.23118335,16.49754331,16.95343362
ALRU31UB,ALRU,31,up,28,4/19/18,38.2947249,94.72056853,152.2781853,39.7730243,99.31574864,160.1594946,17.50611077,17.64065218,17.85009501
ALRU31UB,ALRU,31,up,35,4/26/18,44.93672703,111.4218814,179.265449,44.58343961,111.7663083,180.3104353,18.95413162,19.11821834,19.34528497
ALRU31UB,ALRU,31,up,42,5/3/18,43.35021772,106.4655869,170.4868453,45.24235605,112.3234993,180.6202826,18.43772437,18.56813074,18.78173376
ALRU31UB,ALRU,31,up,50,5/11/18,52.21633014,126.8870016,202.6159869,53.50980877,131.6817793,211.0467734,21.77730053,21.94079496,22.19628913
ALRU31UB,ALRU,31,up,56,5/17/18,53.78691955,129.3679219,205.8275812,54.29730187,132.2156062,211.243388,23.88075188,24.0634767,24.36604334
ALRU31UB,ALRU,31,up,63,5/24/18,59.9996532,148.4966645,238.3474988,61.63694624,154.7109514,249.9271569,23.02244767,23.19310962,23.42887819
ALRU31UB,ALRU,31,up,84,6/14/18,66.094959,164.373213,264.6481227,67.53118084,170.8214983,276.7288771,26.01597816,26.12406639,26.29948767
ALRU31UB,ALRU,31,up,91,6/21/18,72.6262104,179.357431,287.8035443,73.15327811,183.3757217,295.9237098,30.60683977,30.70338204,30.84468779
ALRU31UB,ALRU,31,up,98,6/28/18,64.80721305,159.0976094,254.6056479,65.42637033,163.1224906,262.6816161,24.7666269,24.95758757,25.22503606
ALRU31UB,ALRU,31,up,106,7/6/18,65.97790369,161.0700931,257.3277729,65.53669113,162.2816952,260.7657913,27.23286459,27.39962385,27.65677973
ALRU31UB,ALRU,31,up,112,7/12/18,63.48571588,157.444549,253.2093662,64.52656802,162.9640392,263.714369,25.57844789,25.6658527,25.80071817
ALRU31UB,ALRU,31,up,118,7/18/18,67.96615927,168.1988684,270.0888402,69.71475553,175.8553687,284.7923451,24.97619571,25.10951754,25.32383011
ALRU31UB,ALRU,31,up,125,7/25/18,69.60640871,171.6351475,275.4397401,69.91585395,175.7228068,283.834557,24.75107369,24.90932739,25.11436255
ALRU31UB,ALRU,31,up,134,8/3/18,89.76316177,224.5891903,362.524263,91.0686653,233.3093875,380.2344441,26.65678842,26.77736245,26.96448019
ALRU31UB,ALRU,31,up,148,8/17/18,114.375089,286.7401724,462.7681637,116.3640526,300.0212061,490.6975342,35.59052859,35.82854576,36.22706646
ALRU31UB,ALRU,31,up,162,8/31/18,151.1629938,384.7061992,624.2747611,151.4865166,397.6257687,654.6524118,42.9626686,43.10935771,43.30337441
ALRU31UC,ALRU,31,up,0,3/22/18,39.13180613,92.39795625,146.29629,36.45339558,87.00334061,138.192574,14.7323042,15.00452517,15.46143333
ALRU31UC,ALRU,31,up,3,3/25/18,30.2816991,74.0305382,118.3977461,29.45854766,72.44825051,116.1546702,19.08821983,19.21704392,19.42689135
ALRU31UC,ALRU,31,up,7,3/29/18,29.4070139,59.71193349,89.85873937,31.89624625,65.3736462,98.51138256,23.43887123,23.87075236,24.60775897
ALRU31UC,ALRU,31,up,21,4/12/18,36.59929475,86.42814804,137.0417972,37.40028589,89.24421691,141.6938009,17.75865875,17.99726051,18.40341115
ALRU31UC,ALRU,31,up,28,4/19/18,32.01135787,78.77423215,126.4839637,33.12684864,82.34061628,132.5585989,16.68895498,16.82314916,17.04176979
